Site,Date,Season,DisCFS,DisCFS_lm,TempC,TDS.mg.L,TSS.mg.L,NN.mg.L,TN.mg.L,TP.mg.L
LPPC US,2015-01,,4905,4905,1.09,NA,NA,NA,NA,NA
LPPC DS,2015-01,,NA,4905,NA,NA,NA,NA,NA,NA
Craig,2015-01,,NA,4905,NA,NA,NA,NA,NA,NA
Dearborn US,2015-01,,NA,4905,NA,NA,NA,NA,NA,NA
Dearborn DS,2015-01,,NA,4905,NA,NA,NA,NA,NA,NA
Hardy,2015-01,,NA,4905,NA,NA,NA,NA,NA,NA
Cascade,2015-01,,5098,5098,NA,NA,NA,NA,NA,NA
LPPC US,2015-02,,4977,4977,1.8,NA,NA,NA,NA,NA
LPPC DS,2015-02,,NA,4977,NA,NA,NA,NA,NA,NA
Craig,2015-02,,NA,4977,NA,NA,NA,NA,NA,NA
Dearborn US,2015-02,,NA,4977,NA,NA,NA,NA,NA,NA
Dearborn DS,2015-02,,NA,4977,NA,NA,NA,NA,NA,NA
Hardy,2015-02,,NA,4977,NA,NA,NA,NA,NA,NA
Cascade,2015-02,,5277,5277,NA,NA,NA,NA,NA,NA
LPPC US,2015-03,,4511,4511,2.62,NA,NA,NA,NA,NA
LPPC DS,2015-03,,NA,4511,NA,NA,NA,NA,NA,NA
Craig,2015-03,,NA,4511,NA,NA,NA,NA,NA,NA
Dearborn US,2015-03,,NA,4511,NA,NA,NA,NA,NA,NA
Dearborn DS,2015-03,,NA,4511,NA,NA,NA,NA,NA,NA
Hardy,2015-03,,NA,4511,NA,NA,NA,NA,NA,NA
Cascade,2015-03,,4922,4922,NA,NA,NA,NA,NA,NA
LPPC US,2015-04,,3862,3862,6.6,NA,NA,NA,NA,NA
LPPC DS,2015-04,,NA,3862,NA,NA,NA,NA,NA,NA
Craig,2015-04,,NA,3862,NA,NA,NA,NA,NA,NA
Dearborn US,2015-04,,NA,3862,NA,NA,NA,NA,NA,NA
Dearborn DS,2015-04,,NA,3862,NA,NA,NA,NA,NA,NA
Hardy,2015-04,,NA,3862,NA,NA,NA,NA,NA,NA
Cascade,2015-04,,4371,4371,NA,NA,NA,NA,NA,NA
LPPC US,2015-05,spr,3817,3817,9.98,NA,NA,NA,NA,NA
LPPC DS,2015-05,spr,NA,3817,NA,NA,NA,NA,NA,NA
Craig,2015-05,spr,NA,3817,NA,NA,NA,NA,NA,NA
Dearborn US,2015-05,spr,NA,3817,NA,NA,NA,NA,NA,NA
Dearborn DS,2015-05,spr,NA,3817,NA,NA,NA,NA,NA,NA
Hardy,2015-05,spr,NA,3817,NA,NA,NA,NA,NA,NA
Cascade,2015-05,spr,4627,4627,NA,NA,NA,NA,NA,NA
LPPC US,2015-06,,4717,4717,14.55,NA,NA,NA,NA,NA
LPPC DS,2015-06,,NA,4717,NA,NA,NA,NA,NA,NA
Craig,2015-06,,NA,4717,NA,NA,NA,NA,NA,NA
Dearborn US,2015-06,,NA,4717,NA,NA,NA,NA,NA,NA
Dearborn DS,2015-06,,NA,4717,NA,NA,NA,NA,NA,NA
Hardy,2015-06,,NA,4717,NA,NA,NA,NA,NA,NA
Cascade,2015-06,,5404,5404,NA,NA,NA,NA,NA,NA
LPPC US,2015-07,sum,3986,3986,16.93,NA,NA,NA,NA,NA
LPPC DS,2015-07,sum,NA,3986,NA,NA,NA,NA,NA,NA
Craig,2015-07,sum,NA,3986,NA,NA,NA,NA,NA,NA
Dearborn US,2015-07,sum,NA,3986,NA,NA,NA,NA,NA,NA
Dearborn DS,2015-07,sum,NA,3986,NA,NA,NA,NA,NA,NA
Hardy,2015-07,sum,NA,3986,NA,NA,NA,NA,NA,NA
Cascade,2015-07,sum,4319,4319,NA,NA,NA,NA,NA,NA
LPPC US,2015-08,,4012,4012,17.36,NA,NA,NA,NA,NA
LPPC DS,2015-08,,NA,4012,NA,NA,NA,NA,NA,NA
Craig,2015-08,,NA,4012,NA,NA,NA,NA,NA,NA
Dearborn US,2015-08,,NA,4012,NA,NA,NA,NA,NA,NA
Dearborn DS,2015-08,,NA,4012,NA,NA,NA,NA,NA,NA
Hardy,2015-08,,NA,4012,NA,NA,NA,NA,NA,NA
Cascade,2015-08,,4167,4167,NA,NA,NA,NA,NA,NA
LPPC US,2015-09,,4062,4062,15.61,NA,NA,NA,NA,NA
LPPC DS,2015-09,,NA,4062,NA,NA,NA,NA,NA,NA
Craig,2015-09,,NA,4062,NA,NA,NA,NA,NA,NA
Dearborn US,2015-09,,NA,4062,NA,NA,NA,NA,NA,NA
Dearborn DS,2015-09,,NA,4062,NA,NA,NA,NA,NA,NA
Hardy,2015-09,,NA,4062,NA,NA,NA,NA,NA,NA
Cascade,2015-09,,4100,4100,NA,NA,NA,NA,NA,NA
LPPC US,2015-10,fal,3393,3393,13.37,NA,NA,NA,NA,NA
LPPC DS,2015-10,fal,NA,3393,NA,NA,NA,NA,NA,NA
Craig,2015-10,fal,NA,3393,NA,NA,NA,NA,NA,NA
Dearborn US,2015-10,fal,NA,3393,NA,NA,NA,NA,NA,NA
Dearborn DS,2015-10,fal,NA,3393,NA,NA,NA,NA,NA,NA
Hardy,2015-10,fal,NA,3393,NA,NA,NA,NA,NA,NA
Cascade,2015-10,fal,3462,3462,NA,NA,NA,NA,NA,NA
LPPC US,2015-11,,3299,3299,8.31,NA,NA,NA,NA,NA
LPPC DS,2015-11,,NA,3299,NA,NA,NA,NA,NA,NA
Craig,2015-11,,NA,3299,NA,NA,NA,NA,NA,NA
Dearborn US,2015-11,,NA,3299,NA,NA,NA,NA,NA,NA
Dearborn DS,2015-11,,NA,3299,NA,NA,NA,NA,NA,NA
Hardy,2015-11,,NA,3299,NA,NA,NA,NA,NA,NA
Cascade,2015-11,,3432,3432,NA,NA,NA,NA,NA,NA
LPPC US,2015-12,,3387,3387,2.29,NA,NA,NA,NA,NA
LPPC DS,2015-12,,NA,3387,NA,NA,NA,NA,NA,NA
Craig,2015-12,,NA,3387,NA,NA,NA,NA,NA,NA
Dearborn US,2015-12,,NA,3387,NA,NA,NA,NA,NA,NA
Dearborn DS,2015-12,,NA,3387,NA,NA,NA,NA,NA,NA
Hardy,2015-12,,NA,3387,NA,NA,NA,NA,NA,NA
Cascade,2015-12,,3531,3531,NA,NA,NA,NA,NA,NA
LPPC US,2016-01,,3583,3583,1.22,NA,NA,NA,NA,NA
LPPC DS,2016-01,,NA,3583,NA,NA,NA,NA,NA,NA
Craig,2016-01,,NA,3583,NA,NA,NA,NA,NA,NA
Dearborn US,2016-01,,NA,3583,NA,NA,NA,NA,NA,NA
Dearborn DS,2016-01,,NA,3583,NA,NA,NA,NA,NA,NA
Hardy,2016-01,,NA,3583,NA,NA,NA,NA,NA,NA
Cascade,2016-01,,3676,3676,NA,NA,NA,NA,NA,NA
LPPC US,2016-02,,3877,3877,2.08,NA,NA,NA,NA,NA
LPPC DS,2016-02,,NA,3877,NA,NA,NA,NA,NA,NA
Craig,2016-02,,NA,3877,NA,NA,NA,NA,NA,NA
Dearborn US,2016-02,,NA,3877,NA,NA,NA,NA,NA,NA
Dearborn DS,2016-02,,NA,3877,NA,NA,NA,NA,NA,NA
Hardy,2016-02,,NA,3877,NA,NA,NA,NA,NA,NA
Cascade,2016-02,,4038,4038,NA,NA,NA,NA,NA,NA
LPPC US,2016-03,,3754,3754,3.67,NA,NA,NA,NA,NA
LPPC DS,2016-03,,NA,3754,NA,NA,NA,NA,NA,NA
Craig,2016-03,,NA,3754,NA,NA,NA,NA,NA,NA
Dearborn US,2016-03,,NA,3754,NA,NA,NA,NA,NA,NA
Dearborn DS,2016-03,,NA,3754,NA,NA,NA,NA,NA,NA
Hardy,2016-03,,NA,3754,NA,NA,NA,NA,NA,NA
Cascade,2016-03,,4062,4062,NA,NA,NA,NA,NA,NA
LPPC US,2016-04,spr,4100,4100,6.74,NA,0,0,0.24,0.014
LPPC DS,2016-04,spr,NA,4100,6.74,NA,14,0.05,0.23,0.02
Craig,2016-04,spr,NA,4100,6.74,NA,4,0,0.22,0.016
Dearborn US,2016-04,spr,NA,4100,6.74,NA,4,0,0.22,0.018
Dearborn DS,2016-04,spr,NA,4100,6.74,NA,7,0,0.09,0.01
Hardy,2016-04,spr,NA,4100,6.74,NA,5,0,0.23,0.021
Cascade,2016-04,spr,4622,4622,6.74,NA,8,0,0.26,0.019
LPPC US,2016-05,,5161,5161,9.95,121,NA,NA,NA,NA
LPPC DS,2016-05,,NA,5161,9.95,85,NA,NA,NA,NA
Craig,2016-05,,NA,5161,9.95,125,NA,NA,NA,NA
Dearborn US,2016-05,,NA,5161,9.95,136,NA,NA,NA,NA
Dearborn DS,2016-05,,NA,5161,9.95,132,NA,NA,NA,NA
Hardy,2016-05,,NA,5161,9.95,138,NA,NA,NA,NA
Cascade,2016-05,,6106,6106,9.95,143,NA,NA,NA,NA
LPPC US,2016-06,,4689,4689,14.1,NA,NA,NA,NA,NA
LPPC DS,2016-06,,NA,4689,NA,NA,NA,NA,NA,NA
Craig,2016-06,,NA,4689,NA,NA,NA,NA,NA,NA
Dearborn US,2016-06,,NA,4689,NA,NA,NA,NA,NA,NA
Dearborn DS,2016-06,,NA,4689,NA,NA,NA,NA,NA,NA
Hardy,2016-06,,NA,4689,NA,NA,NA,NA,NA,NA
Cascade,2016-06,,5296,5296,NA,NA,NA,NA,NA,NA
LPPC US,2016-07,sum,4053,4053,16.83,179,0,0,0.13,0.011
LPPC DS,2016-07,sum,NA,4053,16.83,135,0,0,0.04,0.008
Craig,2016-07,sum,NA,4053,16.83,144,0,0,0.15,0.012
Dearborn US,2016-07,sum,NA,4053,16.83,149,0,0,0.15,0.012
Dearborn DS,2016-07,sum,NA,4053,16.83,137,0,0,0.14,0.013
Hardy,2016-07,sum,NA,4053,16.83,141,0,0,0.14,0.013
Cascade,2016-07,sum,4287,4287,16.83,176,5,0,0.14,0.015
LPPC US,2016-08,,3845,3845,17.67,NA,NA,NA,NA,NA
LPPC DS,2016-08,,NA,3845,NA,NA,NA,NA,NA,NA
Craig,2016-08,,NA,3845,NA,NA,NA,NA,NA,NA
Dearborn US,2016-08,,NA,3845,NA,NA,NA,NA,NA,NA
Dearborn DS,2016-08,,NA,3845,NA,NA,NA,NA,NA,NA
Hardy,2016-08,,NA,3845,NA,NA,NA,NA,NA,NA
Cascade,2016-08,,3984,3984,NA,NA,NA,NA,NA,NA
LPPC US,2016-09,,3696,3696,15.62,NA,NA,NA,NA,NA
LPPC DS,2016-09,,NA,3696,NA,NA,NA,NA,NA,NA
Craig,2016-09,,NA,3696,NA,NA,NA,NA,NA,NA
Dearborn US,2016-09,,NA,3696,NA,NA,NA,NA,NA,NA
Dearborn DS,2016-09,,NA,3696,NA,NA,NA,NA,NA,NA
Hardy,2016-09,,NA,3696,NA,NA,NA,NA,NA,NA
Cascade,2016-09,,3846,3846,NA,NA,NA,NA,NA,NA
LPPC US,2016-10,fal,3542,3542,12.25,166,0,0.07,0.28,0.023
LPPC DS,2016-10,fal,NA,3542,12.25,155,0,0.02,0.18,0.017
Craig,2016-10,fal,NA,3542,12.25,152,0,0.06,0.26,0.02
Dearborn US,2016-10,fal,NA,3542,12.25,NA,0,0.06,0.26,0.019
Dearborn DS,2016-10,fal,NA,3542,12.25,NA,0,0,0.06,0
Hardy,2016-10,fal,NA,3542,12.25,151,0,0.05,0.25,0.017
Cascade,2016-10,fal,3771,3771,12.25,155,0,0,0.19,0.015
LPPC US,2016-11,,3736,3736,9.12,NA,NA,NA,NA,NA
LPPC DS,2016-11,,NA,3736,NA,NA,NA,NA,NA,NA
Craig,2016-11,,NA,3736,NA,NA,NA,NA,NA,NA
Dearborn US,2016-11,,NA,3736,NA,NA,NA,NA,NA,NA
Dearborn DS,2016-11,,NA,3736,NA,NA,NA,NA,NA,NA
Hardy,2016-11,,NA,3736,NA,NA,NA,NA,NA,NA
Cascade,2016-11,,3929,3929,NA,NA,NA,NA,NA,NA
LPPC US,2016-12,,4350,4350,3.2,NA,NA,NA,NA,NA
LPPC DS,2016-12,,NA,4350,NA,NA,NA,NA,NA,NA
Craig,2016-12,,NA,4350,NA,NA,NA,NA,NA,NA
Dearborn US,2016-12,,NA,4350,NA,NA,NA,NA,NA,NA
Dearborn DS,2016-12,,NA,4350,NA,NA,NA,NA,NA,NA
Hardy,2016-12,,NA,4350,NA,NA,NA,NA,NA,NA
Cascade,2016-12,,4435,4435,NA,NA,NA,NA,NA,NA
LPPC US,2017-01,,3758,3758,0.99,NA,NA,NA,NA,NA
LPPC DS,2017-01,,NA,3758,NA,NA,NA,NA,NA,NA
Craig,2017-01,,NA,3758,NA,NA,NA,NA,NA,NA
Dearborn US,2017-01,,NA,3758,NA,NA,NA,NA,NA,NA
Dearborn DS,2017-01,,NA,3758,NA,NA,NA,NA,NA,NA
Hardy,2017-01,,NA,3758,NA,NA,NA,NA,NA,NA
Cascade,2017-01,,3915,3915,NA,NA,NA,NA,NA,NA
LPPC US,2017-02,,3526,3526,1.24,NA,NA,NA,NA,NA
LPPC DS,2017-02,,NA,3526,NA,NA,NA,NA,NA,NA
Craig,2017-02,,NA,3526,NA,NA,NA,NA,NA,NA
Dearborn US,2017-02,,NA,3526,NA,NA,NA,NA,NA,NA
Dearborn DS,2017-02,,NA,3526,NA,NA,NA,NA,NA,NA
Hardy,2017-02,,NA,3526,NA,NA,NA,NA,NA,NA
Cascade,2017-02,,3699,3699,NA,NA,NA,NA,NA,NA
LPPC US,2017-03,,3893,3893,2.63,NA,NA,NA,NA,NA
LPPC DS,2017-03,,NA,3893,NA,NA,NA,NA,NA,NA
Craig,2017-03,,NA,3893,NA,NA,NA,NA,NA,NA
Dearborn US,2017-03,,NA,3893,NA,NA,NA,NA,NA,NA
Dearborn DS,2017-03,,NA,3893,NA,NA,NA,NA,NA,NA
Hardy,2017-03,,NA,3893,NA,NA,NA,NA,NA,NA
Cascade,2017-03,,4421,4421,NA,NA,NA,NA,NA,NA
LPPC US,2017-04,,5683,5683,6.38,NA,NA,NA,NA,NA
LPPC DS,2017-04,,NA,5683,NA,NA,NA,NA,NA,NA
Craig,2017-04,,NA,5683,NA,NA,NA,NA,NA,NA
Dearborn US,2017-04,,NA,5683,NA,NA,NA,NA,NA,NA
Dearborn DS,2017-04,,NA,5683,NA,NA,NA,NA,NA,NA
Hardy,2017-04,,NA,5683,NA,NA,NA,NA,NA,NA
Cascade,2017-04,,6224,6224,NA,NA,NA,NA,NA,NA
LPPC US,2017-05,spr,8844,8844,10.08,NA,NA,NA,NA,NA
LPPC DS,2017-05,spr,NA,8844,NA,NA,NA,NA,NA,NA
Craig,2017-05,spr,NA,8844,NA,NA,NA,NA,NA,NA
Dearborn US,2017-05,spr,NA,8844,NA,NA,NA,NA,NA,NA
Dearborn DS,2017-05,spr,NA,8844,NA,NA,NA,NA,NA,NA
Hardy,2017-05,spr,NA,8844,NA,NA,NA,NA,NA,NA
Cascade,2017-05,spr,9967,9967,NA,NA,NA,NA,NA,NA
LPPC US,2017-06,,8670,8670,14.67,150,NA,NA,NA,NA
LPPC DS,2017-06,,NA,8670,14.67,110,NA,NA,NA,NA
Craig,2017-06,,NA,8670,14.67,163,NA,NA,NA,NA
Dearborn US,2017-06,,NA,8670,NA,NA,NA,NA,NA,NA
Dearborn DS,2017-06,,NA,8670,NA,NA,NA,NA,NA,NA
Hardy,2017-06,,NA,8670,NA,NA,NA,NA,NA,NA
Cascade,2017-06,,9215,9215,NA,NA,NA,NA,NA,NA
LPPC US,2017-07,sum,4569,4569,18.25,216,0,0,0.18,0.013
LPPC DS,2017-07,sum,NA,4569,18.25,197,0,0.04,0.12,0.016
Craig,2017-07,sum,NA,4569,18.25,207,0,0,0.22,0.012
Dearborn US,2017-07,sum,NA,4569,18.25,202,0,0.05,0.22,0.012
Dearborn DS,2017-07,sum,NA,4569,18.25,187,0,0,0.09,0.004
Hardy,2017-07,sum,NA,4569,18.25,208,0,0,0.2,0.012
Cascade,2017-07,sum,4961,4961,18.25,206,4,0,0.21,0.014
LPPC US,2017-08,,4182,4182,18.35,NA,NA,NA,NA,NA
LPPC DS,2017-08,,NA,4182,NA,NA,NA,NA,NA,NA
Craig,2017-08,,NA,4182,NA,NA,NA,NA,NA,NA
Dearborn US,2017-08,,NA,4182,NA,NA,NA,NA,NA,NA
Dearborn DS,2017-08,,NA,4182,NA,NA,NA,NA,NA,NA
Hardy,2017-08,,NA,4182,NA,NA,NA,NA,NA,NA
Cascade,2017-08,,4253,4253,NA,NA,NA,NA,NA,NA
LPPC US,2017-09,,4083,4083,16.51,NA,NA,NA,NA,NA
LPPC DS,2017-09,,NA,4083,NA,NA,NA,NA,NA,NA
Craig,2017-09,,NA,4083,NA,NA,NA,NA,NA,NA
Dearborn US,2017-09,,NA,4083,NA,NA,NA,NA,NA,NA
Dearborn DS,2017-09,,NA,4083,NA,NA,NA,NA,NA,NA
Hardy,2017-09,,NA,4083,NA,NA,NA,NA,NA,NA
Cascade,2017-09,,4175,4175,NA,NA,NA,NA,NA,NA
LPPC US,2017-10,fal,3721,3721,11.3,197,0,0.14,0.38,0.068
LPPC DS,2017-10,fal,NA,3721,11.3,203,0,0,0.11,0.016
Craig,2017-10,fal,NA,3721,11.3,195,0,0.14,0.36,0.068
Dearborn US,2017-10,fal,NA,3721,11.3,194,0,0.15,0.37,0.067
Dearborn DS,2017-10,fal,NA,3721,11.3,191,0,0.15,0.36,0.069
Hardy,2017-10,fal,NA,3721,11.3,190,0,0.15,0.34,0.063
Cascade,2017-10,fal,3945,3945,11.3,193,0,0.08,0.29,0.055
LPPC US,2017-11,,4192,4192,6.08,NA,NA,NA,NA,NA
LPPC DS,2017-11,,NA,4192,NA,NA,NA,NA,NA,NA
Craig,2017-11,,NA,4192,NA,NA,NA,NA,NA,NA
Dearborn US,2017-11,,NA,4192,NA,NA,NA,NA,NA,NA
Dearborn DS,2017-11,,NA,4192,NA,NA,NA,NA,NA,NA
Hardy,2017-11,,NA,4192,NA,NA,NA,NA,NA,NA
Cascade,2017-11,,4390,4390,NA,NA,NA,NA,NA,NA
LPPC US,2017-12,,4934,4934,2.64,NA,NA,NA,NA,NA
LPPC DS,2017-12,,NA,4934,NA,NA,NA,NA,NA,NA
Craig,2017-12,,NA,4934,NA,NA,NA,NA,NA,NA
Dearborn US,2017-12,,NA,4934,NA,NA,NA,NA,NA,NA
Dearborn DS,2017-12,,NA,4934,NA,NA,NA,NA,NA,NA
Hardy,2017-12,,NA,4934,NA,NA,NA,NA,NA,NA
Cascade,2017-12,,5223,5223,NA,NA,NA,NA,NA,NA
LPPC US,2018-01,,4565,4565,1.26,NA,NA,NA,NA,NA
LPPC DS,2018-01,,NA,4565,NA,NA,NA,NA,NA,NA
Craig,2018-01,,NA,4565,NA,NA,NA,NA,NA,NA
Dearborn US,2018-01,,NA,4565,NA,NA,NA,NA,NA,NA
Dearborn DS,2018-01,,NA,4565,NA,NA,NA,NA,NA,NA
Hardy,2018-01,,NA,4565,NA,NA,NA,NA,NA,NA
Cascade,2018-01,,4869,4869,NA,NA,NA,NA,NA,NA
LPPC US,2018-02,,5287,5287,1.44,NA,NA,NA,NA,NA
LPPC DS,2018-02,,NA,5287,NA,NA,NA,NA,NA,NA
